"X","name","mzmed","mzmin","mzmax","rtmed","rtmin","rtmax","npeaks","NEG","maxint","X200STD_amide23_24DDA100.700_neg01","X200STD_amide23_24DDA100.700_neg02","X200STD_amide23_24DDA100.700_neg03","X200STD_amide23_24DDA100.700_neg04","num.ms1.spec","num.spec","isolation.warning","rt.extended","nhits.reverse_zhulib","hits.reverse_zhulib","nhits.forward_zhulib","hits.forward_zhulib"
992,"M175T782",174.946516474081,174.946501544682,174.946877486699,782.134,781.603,782.532,4,4,8451,69542.29216,77227.8293684211,101078.646177419,107357.577797101,4,10,TRUE,FALSE,"0","","0",""
993,"M175T1036",174.946866667411,174.946712435083,174.947020899738,1036.47,1035.21,1037.73,2,2,2152,1188.0619999999,2079.03571428547,2033.01818181813,2137.71428571402,0,0,FALSE,FALSE,"0","","0",""
994,"M175T1064",174.94650090426,174.946389478616,174.954073815147,1064.04,1052.89,1071.84,5,3,2191,997.939999999923,886.925000000124,1116.66599999992,1018.00799999993,0,0,FALSE,FALSE,"0","","0",""
995,"M175T1124",174.953880111822,174.953843899237,174.954266321839,1124.35,1115.64,1126.35,3,3,1772,1094.98666666669,492.776666666676,851.957999999943,1821.54799999986,0,0,FALSE,FALSE,"0","","0",""
996,"M175T266",174.963581369672,174.963316818398,174.963845920945,265.8175,265.622,266.013,2,2,553,5758.96816666667,5492.50694736841,5257.47100000001,3616.56600000001,1,25,TRUE,FALSE,"0","","0",""
997,"M175T239",174.959207494239,174.954721552124,174.963693436354,239.3815,238.348,240.415,2,2,630,7507.60957142856,8851.88786274509,8869.52221276595,8847.07799999999,1,4,TRUE,FALSE,"0","","0",""
998,"M175T733",174.970147962577,174.970014947709,174.970280977445,733.2915,731.959,734.624,2,2,387,1485.55858823529,6323.61109090907,6263.74873913045,4754.32753571429,0,0,FALSE,FALSE,"0","","0",""
999,"M175T267",175.001114204807,175.000911453597,175.001316956017,267.4475,267.103,267.792,2,2,541,6634.48057142858,6260.59973913043,1873.19760869565,2159.33018181818,0,0,FALSE,FALSE,"0","","0",""
1000,"M175T67",175.001710062771,175.00045905251,175.008597021548,66.515,66.415,71.108,3,3,1537,2833.18181578947,1657.94566666667,1841.74293333333,14694.0667142857,1,17,TRUE,FALSE,"0","","0",""
1001,"M175T432",175.024813444016,175.024401556628,175.024978307311,431.748,430.684,432.437,4,4,1622,6489.26119047619,6561.54742857142,6831.87059259259,7463.34128571429,3,6,TRUE,FALSE,"0","","0",""
1002,"M175T820",175.024792415913,175.024317225905,175.025179829938,819.693,819.03,820.766,4,4,2473,11661.957,14848.9713428571,17911.1197222222,19388.3361290323,4,29,TRUE,FALSE,"2","score{0.9057}adduct{(M+CH3COO)-}name{Maleic acid}labid{S0004};score{0.8067}adduct{(M+CH3COO)-}name{Fumarate}labid{S0003}","0",""
1003,"M175T875",175.024261457164,175.023887721125,175.024953763956,875.087,875.08,875.496,3,3,1339,4879.9509,5658.81654545454,7575.99884210527,6191.07888888892,3,13,TRUE,FALSE,"0","","0",""
1004,"M175T364",175.026613318937,175.026400923551,175.027566147883,363.622,362.971,364.357,4,4,1723,12104.8393636364,9820.42052173912,9059.72721739129,9990.65269565218,3,7,FALSE,TRUE,"0","","0",""
1005,"M175T752",175.03736293301,175.037270496932,175.037393655849,752.441,751.904,752.765,4,4,254785,1617520.85314286,1716744.28799999,1726122.43263636,1789472.67465218,4,255,FALSE,FALSE,"1","score{0.9427}adduct{(M-H)-}name{N-carbamoyl-L-aspartate}labid{L0084}","1","score{0.9427}adduct{(M-H)-}name{N-carbamoyl-L-aspartate}labid{L0084}"
1006,"M175T635",175.047037171216,175.046944049504,175.048024524008,634.6925,634.051,634.931,4,4,51469,354830.703652173,371846.597666667,354180.15235,397536.557157896,4,35,FALSE,FALSE,"1","score{0.9632}adduct{(M-H)-}name{Allantoate/Allantoic acid}labid{L0306}","1","score{0.9628}adduct{(M-H)-}name{Allantoate/Allantoic acid}labid{L0306}"
1007,"M175T1337",175.097274370998,175.09666384748,175.09785640717,1337.36,1321.89,1349.47,13,3,357,226.320000000018,922.860000000005,946.12444444442,1095.65999999997,0,0,FALSE,FALSE,"0","","0",""
1008,"M175T1357",175.097363618165,175.096678762084,175.097802471222,1356.64,1351.23,1360.62,5,3,340,1058.19999999999,922.862222222243,662.580000000035,717.307000000025,0,0,FALSE,FALSE,"0","","0",""
1009,"M175T1305",175.097517225763,175.097009234945,175.098496371672,1305.25,1290.34,1319,11,2,339,536.580000000007,569.70000000001,571.843750000018,617.767500000025,0,0,FALSE,FALSE,"0","","0",""
1010,"M175T1373",175.09727145364,175.096937957508,175.097590021309,1373.33,1365.55,1377.87,7,2,335,579.093750000018,515.485714285718,500.924285714279,577.26000000001,0,0,FALSE,FALSE,"0","","0",""
