name,mz,rt,adduct,X200STD_amide23_24DDA100.700_neg01,X200STD_amide23_24DDA100.700_neg02,X200STD_amide23_24DDA100.700_neg03,X200STD_amide23_24DDA100.700_neg04
M201T793,201.040183263128,793.155,[M+Na-2H]-,2778.2353125,4047.80187499999,5731.30384615382,5228.47899999997
M204T364,204.0308032747,363.622,[M-H]-,2474800,1897785.55886956,1873711.22673913,1955346.32973913
M204T437,204.029752042568,437.139,[M-H]-,84991.9828888889,100865.162275862,100738.981384615,111082.974896552
M204T98,204.123880369053,97.573,[M-H]-,3519.60161111111,4464.34294736842,4893.2436,3976.567
M211T847,211.000749169644,847.039,[M-H2O-H]-,108294.428210526,140302.7347,155328.194064516,168881.962064516
M212T45,212.002024283526,44.977,[M-H]-,12857.3972876712,19749.6705454545,18968.4864489796,18968.004826087
M212T64,212.092348099082,64.489,[M+NH4-2H]-,60858.841875,63778.0509375,69440.33975,62852.9728235294
M213T64_2,213.1865094375,64.407,[M-H]-,250735.461977778,1456067.31340659,1465357.31768132,1580850.08347959
M217T368,217.025106381694,368.341,[M+K-2H]-,71754.6541714285,96254.0945671642,74528.7567567568,45810.7554347826
M217T341,217.025255004911,341.368,[M+K-2H]-,64234.0355142858,82312.1951666667,162354.43058333301,53558.0949333333
M217T383,217.097624441406,383.488,[M-H]-,36790.4751739131,41938.6570434783,43373.9243461538,45231.72336
M217T234,217.133976208214,233.8085,[M-H]-,3704.06970588235,3734.40810526316,3887.88572727273,4090.02792307693
M218T716,218.067104865326,716.3855,[M-H]-,21122.4456666667,27581.5421538462,27376.0233333332,27472.1428955224
M218T431,218.103064223619,431.335,[M-H]-,25301.2422,26257.9485,29160.6265,26519.8309285714
M218T474,218.10357800879,473.624,[M-H]-,10711.4908333333,10903.7870454546,9343.4,10361.3458947369
M218T457,218.103328093859,457.246,[M-H]-,5630.33376,6015.67696296296,7550.38886956521,5992.7805
M219T510,219.077495107258,510.08,[M-H]-,7949.47007407407,11315.18164,13215.3948,11089.9453846154
M221T70,221.081554275012,70.3845,[2M-H]-,34406.2538285714,33055.3802857143,38746.443184,32833.6506666667
M223T368,223.080221537283,367.9215,[M+CH3COO]-,13959.8854090909,12965.0343103448,12406.8324545455,11947.4656818182
M225T757,225.099286367809,756.756,[M-H]-,12626.299,15243.36975,17388.5855769231,18218.0605384616
M226T346,226.082814844887,346.259,[M-H]-,85455.0948571429,44503.2154411765,44733.318631579,64206.1649787234
M227T711,226.995732123038,711.171,[M+CH3COO]-,17951.163172043,15461.206,21343.8007851852,16786.5311186441
M227T62,227.201736364164,61.62,[M-H]-,367177.566355932,386277.8712,278967.467285714,278323.854285714
M228T52,228.051227888747,52.0075,[M+CH3COO]-,6684.06329787234,10646.0095,5900.21758333334,10073.8813846154
M229T813,229.011858470673,812.9305,[M+CH3COO]-,10140.4209655172,16875.193125,15527.5486666666,15376.2214285714
M229T813,229.011858470673,812.9305,[M-H]-,10140.4209655172,16875.193125,15527.5486666666,15376.2214285714
M231T671,231.014281068503,670.824,[2M-H]-,1948.48145454545,2525.76600000001,3260.02049999999,3140.47233333332
M231T59,231.159847052892,59.007,[M+CH3COO]-,2044.406,4756.24515789474,2862.28564285714,2658.9234375
M236T310,236.078827282849,310.0405,[M-H]-,152448.88032,82577.8773884892,87728.1451199999,87449.2816400001
M236T443,236.079528832327,443.039,[M-H]-,531598.8384,656065.214961538,672160.621289474,658005.649217391
M237T426,237.064288648355,425.8935,[M+CH3COO]-,2709.08199999999,2193.04,2123.25142857143,1938.46653846154
M239T700,239.077098186383,700.069,[M+CH3COO]-,78860.2739166666,90865.8130000001,99097.854214286,99916.5731666661
M240T555,240.028612627232,554.956,[M-H2O-H]-,1207.99400000001,1240.416,1047.34477777778,1914.34164705882
M241T436,241.011494836393,436.2725,[M-H2O-H]-,10305.666,11597.5225,11359.9007368421,12581.7612
M241T530,241.011625743292,530.227,[M-H2O-H]-,16652.3748695652,44722.9090957447,52506.5651653543,42498.6941836735
